c,,,,,,,,,,,,,,,,,
Projects,Primary Category,Secondary Category,Context,The Problem,What I did,UX Problem,Discovery,Analysis,Prototyping,Result,It's impact,Team - Collaborations,Artifacts,TechStack,Side-Story,,
Cal OES Grants Management Community Portal,Design; Product; Management,Government; Disaster; Salesforce; Dashboards; Saas CRM; Awards; Public Service; FourLeaf Partners,The Cal OES Engage Community Portal is a $2.1 Billion award-winning enterprise Salesforce application designed to modernize legacy grants and disaster management processes for the state of California,Our UX team was specifically brought in to resuscitate the platform after the initial rollout stalled because no one was using it and stakeholders did not know why.,"I started out as a UX designer and quickly transitioned into a UX researcher and strategist. Not only did I conduct hundreds of user interviews and analysis, but I reverse engineered the existing portal to visualize barriers.",Discovery took the team several months to complete because we quickly understood that each directorate had a different system and different naming convention. We needed to find a problem to democratize organization-wide data,"I ran approximately 75 open-ended interviews (shadowing, doument reviews) with different community leaders, business analysts, and individual users across multiple departments to deeply understand their process and each specific job-to-be-done. ","Next, I created a methodology of taking unstructured data and turning it into a structured, quantitative visual matrix for leadership to be able to see overall trends.","Once I understood the key issues, in a second phase of interviews with another 75-80 interviewers, I used a mixture of Figma and Salesforce Lightning to prototype different ideas (low to high fidelity) to understand if I was headed in the right direction. Also, this helped me to communicate these concepts to the dev team",I helped the team understand that what community users wanted was to understand what they needed to do to get their reimbursement as quickly as possible. And that this project of modernizing the software was urgently needed. ,"The overall project had been on the cusp of being canceled from lack of understanding and my ability to connect the issues to leadership with a simple 88 second upbeat, friendly video, allowed leadership to understand how important this project was to their constituents, and the project was revived. My company's contract was renewed. ","I served as designer, researcher, product manager, and project manager. There were 4 designers, 2 researchers, 1 product manager, 45 engineers/developers, 15 project managers, 15 State-side POs, 4 change managers, 7 Directorates, 19 state leadership, 1 original Dev team subcontractor, 5 competing contracting teams. workshops, scrum-of-scrums, cross-directorate alignment, train-the-trainer","Onboarding Site, Engage Community Portal","AI and Analysis: Copilot, ChatGPT, Grain (interviews), Excel (analysis), Hotjar, Pendo. Dev Collaboration: Azure DevOps, Figma, Salesforce Lightening, Snagit, Tableau, PowerBI, Snowflake. Project Org tools: Superhuman, Slack, Monday, Notion, Sharepoint, OneNote, Miro, Asana, MS Project. Creative Tools: Adobe CC, Figma, Figjam, Camtasia","During all of these interviews, I had tagged moments of happy users and put it together into a simple 88-second video. This was intended only for the Engage Community Portal product owner, but he was so amazed by it that he brought it to the Engage Community Portal IT product owner, who brought it to Director Nancy Ward. Apparently, he showed it during an executive meeting and told me that The video changed the entire dynamic of the room. The rest of the meeting was very upbeat and happy. After that moment, I was invited to several other presentations for Director Ward, which is unusual and unheard of as a contractor. This visibility gave me respect from across the organization and allowed me to move forward with other initiatives. ",,Six characteristics of product-led organizations: 1. Align each function around the product 2. Make decisions with data over gut feel 3. Use the product as a marketing channel 4. Have amazing onboarding 5. Help users help themselves 6. Collect and use feedback from customers
Cal OES Salesforce Dev Team,Product; Management,Government; Disaster; Salesforce; Dashboards; Saas CRM; Awards; Public Service; FourLeaf Partners,Our team worked to bridge communication gaps with the initial engineering teams to decipher the complex technical constraints and requirements that had caused the original Salesforce portal build to freeze,"The project had completely stalled because stakeholders did not understand why the platform was blocked, and the lack of intuitive, human-centered design meant that users were frustrated and simply not adopting the system","I met with the Dev team daily, along with the Scrum of Scrum team weekly, to understand the scope, capabilities, and requirements of the software we were using.","The developers and the program managers simply don't communicate. There was not a lot of clarity on scope, capability, and requirements.  Without a project charter or visual architecture, the user journey was incohesive. Additionally, there was a cultural, language, and geographical location knowledge gap between teams.  "," I also met with project managers from every single application within the Portal, which mostly included working with competitors and training them to understand their part of the puzzle.  ","During my grants management UX interviewing with the high-fidelity prototypes, I recognized that 66% of users were failing to onboard because of confusing UX screens.  ","I used no-code, low-code software such as Salesforce Lightning and SharePoint and Figma Make to communicate to the dev team what the business side of the project needed so we could move forward with solutions. ","These prototypes, which had been backed by user research on the business side, the community users, and the dev team allowed for more seamless integration and quicker movement for the project. ","The increased speed allowed the team to move from 8 applications to 23 within the next year and a half. We were also able to bring in other contractors. (These new lines of communication created a new problem, which will be addressed in the Office of Change Management and the Project Management Office initiatives.)","I served as designer, researcher, product manager, and project manager). There were 4 designers, 2 researchers, 1 product manager, 45 engineers/developers, 15 project managers, 15 State-side POs, Daily and weekly scrum meetings, cross-directorate alignment",,"AI and Analysis: ChatGPT, Grain (interviews), Excel (analysis), Hotjar, Pendo. Dev Collaboration: Azure DevOps, Figma, Salesforce Lightening, Snagit.  Project Org tools: Superhuman, Slack, Monday, Notion, Figjam, Miro, Asana, MS Project. Creative Tools: Adobe CC, Figma, Camtasia","Up to this point, I had been actively listening and learning and had not spoken very much in the weekly developer meetings. There were about 25 people, and the engineers strongly believed that what they had done was correct and did not understand why users were not using the system. When I showed them the data and the roadmap, The owner of the contracting company told me to implement this immediately, which I did. None of those talented engineers had caught this issue because none of them had used human QA. I quickly gained the respect For user experience which allowed me to move forward quickly on future projects with Dev collaboration.",,
Cal OES Onboarding,Design; Product; Management,Government; Disaster; Salesforce; Dashboards; Saas CRM; Awards; Public Service; FourLeaf Partners,Onboarding is something that had been addressed two years prior when the system was built And that project was closed. ,"Initially, we did not know onboarding was a problem.",I was running my UX interviews when I noticed a pause at the same moment for each person during onboarding. ,Only 33% of users interviewed (5) were able to onboard without assistance.,I reworked the flow using Figma and re-ran the testing with 5 new users with full success. ,"Next, I created a roadmap of that user journey and marked up the barriors in red ","At the weekly Dev team meeting, with our full team, I brought up the issue along with the corrected version and roadmap","The lead developer and owner of the development company immediately approved the change. Along with a product owner, I was able to fit this into the next sprint, and it was completed in two weeks. ",That portion of the onboarding went from 33% to 100% success,"I served as designer, researcher, product manager, and project manager. 25 engineers/developers, 15 project managers, 15 State-side POs. User interview workshops, scrum meetings, cross-directorate alignment",,"AI and Analysis: Copilot, ChatGPT, Grain (interviews), Excel (analysis), Hotjar, Pendo. Dev Collaboration: Azure DevOps, Figma, Salesforce Lightening, Snagit, Tableau, PowerBI, Snowflake. Project Org tools: Superhuman, Slack, Monday, Notion, Sharepoint, OneNote, Miro, Asana, MS Project. Creative Tools: Adobe CC, Figma, Figjam, Camtasia","One interview with a fire chief started off with a very happy user who had been walked through the onboarding as a group. He told me how much he loved the product, but when I asked him to show me how he used it, it became apparent that he had never actually used the software. He was embarrassed and told me that firefighters don't remember anything unless it's on a sticker that they can put onto a water bottle or laptop. This was an eye-opener! ",,
Cal OES Engage Recovery ,Design; Product; Management,Government; Disaster; Salesforce; Dashboards; Saas CRM; Awards; Public Service; FourLeaf Partners,"The Recovery Directorate was the focus of the first phase of this project to establish alignment amongst business leaders, along with alignment with the other senior project leaders and Dev Teams. ",This $2.1B project did not have alignment across verticals or up/down divisions. ,"I created high-level visuals for leadership to understand the issues, and I also created a video of happy constituents so they would understand how important this work was in the real world. ","The top level of leadership did not understand what was needed by the different types of users, and the knowledge gap was creating a systems problem. Additionally, leadership was not aligned on purpose across directorates","I asked Executive Leadership to allow me to run a PI Event to help them develop alignment and learn about what is possible in the system. I ran a two-week process that I called Recovery Discovery to understand the key issues at a higher level, broken down into smaller parts, so that my colleagues could assist me with conducting 33 interviews in five days. ","I developed a methodology using AI to establish a template built in our Grain software that worked together with an Excel script, then I reviewed each interview and metadata, created a mindmap in Figjam, ","The Mindmap, combined with a Figma presentation allowed me to develop a powerful artifact that I was able to show to the Salesforce Product Owner, so we could refocus the Sprint direction and establish a structure for the PI event.","The happy constituent video, the quantitative and qualitative user research matrix, the marketing tools, the Project Pulse newsletter, the presentations, and the recovery discovery mind map became helpful communication tools across all of these IT teams. ",These tools allowed senior leadership to get support from the California Department of Technology and other leadership roles to continue moving forward with the project. ,"I served as designer, researcher, product manager, and project manager. There were 4 designers, 8 researchers, 1 product manager, 45 engineers/developers, 15 project managers, 15 State-side POs, 4 change managers,7 directorates 19 state leadership, 1 original Dev team subcontractor, 5 competing contracting teams. workshops, scrum-of-scrums, cross-directorate alignment, train-the-trainer",Presentation,"AI and Analysis: Copilot, ChatGPT, Grain (interviews), Excel (analysis), Hotjar, Pendo. Dev Collaboration: Azure DevOps, Figma, Salesforce Lightening, Snagit, Tableau, PowerBI, Snowflake. Project Org tools: Superhuman, Slack, Monday, Notion, Sharepoint, OneNote, Miro, Asana, MS Project. Creative Tools: Adobe CC, Figma, Figjam, Camtasia","When the Closeouts project had launched, I was removed from the Scrum of Scrum. However, once that happened, I received a phone call from the leader of the Scrum of Scrum who worked for a competitor, who was inviting me back into the meeting, more politely than I had every experienced him. I thought it was odd, but stopped everything and jumped into the meeting. Strangely enough, nothing was asked of me. So I was a bit confused. I found out later from a colleague that the Engage Community Portal IT product owner was furious that I was no longer in the Scrum of Scrums! He made the Scrum Master call me and extend the invitation to pull me into the meeting in front of all of the Sr Project Managerse and Directors.",,
California 2023 GovTech Innovation Award for Public Service,Design; Product; Management,Government; Disaster; Salesforce; Dashboards; Saas CRM; Awards; Public Service; FourLeaf Partners,Cal OES Engage Community Portal Public Assistance Closeouts,,,,,,,,,,,,,,
Cal OES Engage Community Portal Public Assistance Closeouts,Design; Product; Management,Government; Disaster; Salesforce; Dashboards; Saas CRM; Awards; Public Service; FourLeaf Partners,The Salesforce product owner made me product manager on the Public Assistance Closeout app for the Engage Community Portal. ,"This was a high visibility application in the first to go live! But the problem was that the close outs product owner was not approving anything, and the project was stalled. ",I spoke to the product owner to understand what it was he needed to do and his understanding of the project. ,"His understanding did not align with program or IT. The product owner did not understand the scope of this phase of work. He wanted the dev team to develop all kinds of applications within the application itself, costing too many story points without a lot of value. ","I interviewed 30 different stakeholders in close outs, including folding in one of the business analysts into this work. ",I used a value-effort matrix to understand that the value of the smaller applications was very low and the effort was very high. ,"I created a visual roadmap of scope of what is and is not included in this phase. I also created a parking lot document for the product owner. This way he understood that future requests were not being dismissed, but were in a living document for phase II. ","Between clarifying the scope and understanding that the micro-applications were low-value and high-effort, the product owner immediately agreed to abandon the smaller projects allowing us to move forward with the overall project. ","We came in under budget and ahead of schedule, allowing me to work on other initiatives for Cal OES IT. Additionally, that project won the 2023 Government Innovative Technology Award for Public Assistance, giving the project support from high-level executives. ","I served as designer, researcher, product manager, and project manager. There were 4 designers, 2 researchers, 1 product manager, 6 engineers/developers, 4 State-side POs, 4 state leadership, 1 original Dev team subcontractor. User interviews, workshops, scrum-of-scrums, cross-directorate alignment, train-the-trainer",Cal OES Public Assistance,"AI and Analysis: Copilot, ChatGPT, Grain (interviews), Excel (analysis), Hotjar, Pendo. Dev Collaboration: Azure DevOps, Figma, Salesforce Lightening, Snagit, Tableau, PowerBI, Snowflake. Project Org tools: Superhuman, Slack, Monday, Notion, Sharepoint, OneNote, Miro, Asana, MS Project. Creative Tools: Adobe CC, Figma, Figjam, Camtasia","Once the Public Assistance Closeouts application went public and won its award, every member of my state side team was promoted. Both the Cal OES and my contracting company told me that I could give myself any title I wanted. They weren't really sure what I was doing, because the truth was I was combining UX strategy, research, design, marketing, change management, product, project management, consumer experience, and my innate intuition to find and remove blockers. The Engage Community Portal product owner on the program side told me that the project was stalled and when my team jumped in, it moved like fire! Then, when the project ended, it was stalled once again. ",,
Cal OES Engage Community Portal Office of Change Management (OCM) Interim Lead,Design; Management,Government; Disaster; Salesforce; Dashboards; Saas CRM; Awards; Public Service; Sikich LLP,Senior leadership wanted to ensure that internal government users were using the software. ,"Internal government users didn't know about the software, and senior leadership believed this was a marketing problem And they wanted a newsletter. ","I created a newsletter and pulled together change managers from across the state To form an Office of Change Management. As a Prosci certified change manager, I was made the interim lead until they were able to hire a full-time employee. ","The 30,000 government workers needed to understand the benefit of modernizing this system. And to stop using old legacy software and random workarounds. ",I interviewed 10 users across 9 applications to understand their needs and how to communicate with them. ,"I developed a stakeholder management plan, and the newsletter morphed into an online SharePoint communication site That sent news digests to specific end users. ",I built a hi-fidelity proof-of-concept for the next round of interviews to train the heads of each department So their teams could Control the flow of information over their pervue for sustainability. ,"This process brought the different verticals together in understanding the larger picture. The interviews themselves became informative tools, initiating the awareness and desire portions of change management. ",This process made it clear that we were missing a project management office because the senior PMs were not aligned. ,"I served as designer, researcher, product manager, and interim lead. There was 1 designer, 1 researcher, 1 product manager, 0 engineers/developers, 15 project managers, 15 State-side POs, 4 change managers, 19 state leadership. User Interviews, workshops, cross-directorate alignment, train-the-trainer",Project Pulse,"AI and Analysis: Copilot, ChatGPT, Grain (interviews), Excel (analysis), Hotjar, Pendo. Dev Collaboration: Azure DevOps, Figma, Salesforce Lightening, Snagit, Tableau, PowerBI, Snowflake. Project Org tools: Superhuman, Slack, Monday, Notion, Sharepoint, OneNote, Miro, Asana, MS Project. Creative Tools: Adobe CC, Figma, Figjam, Camtasia","Initially, they had hired a man with 4-5 master's degrees in change management to be the lead. He was looking at the technical side of change and needed senior leadership to approve every detail. My CEO sent me for the ProSci Change Management Certification. The moment I completed it, he made me interim lead. This was able to happen because I had come in under budget and ahead of schedule on the P.A. close out project. ",,
Cal OES Engage Portal Project Management Office (PMO) Interim Lead,Management,Government; Disaster; Salesforce; Dashboards; Saas CRM; Awards; Public Service; Sikich LLP,Senior leadership needed a document that explained all the projects in terms of value for the California Department of Technology. ,The competing contractors and the misaligned leadership resulted in senior project managers who did not have an understanding of project value. ,"I developed a visual with all the different projects under Cal OES IT, including more than just the Salesforce Engage portal. ",No one could confirm the visual because it was so foreign and unclear. ,"I spoke to every single senior project manager and affiliated product owner, conducting over 80 hours of discovery. ",One of the root problems was that the senior project managers were not aligned as a result of senior leadership not being aligned. Cal OES IT allowed me to become the interim PMO until they were able to hire a PMP to take the role.,"I developed a clear series of collaborative spreadsheets, documents and professional illustrations, along with an interacictve Figma presentation for the overarching teams to be a part of, and to take ownership of in the future, keeping the system systainable.","This process resulted in a unification between teams, and I was able to teach the senior project managers what the state required at the end of the day. It wasn't the final product as they had thought instead it was a product with relevant and quantifiable value. These interactive documents were moved over to the PMP for alignment at the Enterprise Portfolio level.","These artifacts equipped the Cal OAS Engage Community Portal product owner on the IT side to get approval and further funding from the CDT, as hoped.","I served as strategiest, researcher, and interim PMO lead. There was 1 strategiest, 1 researcher, 2 PMPs, 45 engineers/developers, 15 project managers, 15 State-side POs, 4 change managers, 19 state leadership, 1 original Dev team subcontractor, 5 competing contracting teams. Conducted key stakeholder interviews, workshops, cross-directorate alignment, and train-the-trainer",,"AI and Analysis: Copilot, ChatGPT, Grain (interviews), Excel (analysis), Hotjar, Pendo. Dev Collaboration: Azure DevOps, Figma, Salesforce Lightening, Snagit, Tableau, PowerBI, Snowflake. Project Org tools: Superhuman, Slack, Monday, Notion, Sharepoint, OneNote, Miro, Asana, MS Project. Creative Tools: Adobe CC, Figma, Figjam, Camtasia","One of the lead engineers for the Enterprise Architecture Group came to a meeting to tell us that they were developing a center of excellence. I reached out to him separately to tell him I wanted to be on that team. He told me later that he agreed because he didn't know what I did or who I reported to, but he knew that I got things done. We had a wonderful relationship, and this brought me into the center of excellence. ",,
Cal OES Centers of Excellence (CoE) Team member,Design; Management,Government; Disaster; Salesforce; Dashboards; Saas CRM; Awards; Public Service; Sikich LLP,"Now that we had an Office of Change Management in a project management office, we needed to establish a center of excellence for the Salesforce Engage community portal. ","Most of the team members were new to this project, furthering the knowledge gap. ","I reached out to the team lead and told him that he needed me on this project. (He found out later that I was one of the few people who knew where the ""bodies were buried"".)","The technical team had created a difficult Sharepoint Center of Excellence that the larger teams could not understand, therefore were not using.",I met with every single senior project manager and many of the developers to determine which artifacts existed and how they would like to communicate By developing a stakeholder management plan. ,"It had become clear that each team had separate types of artifacts, and that the Center of Excellence team had no connection to the project. I offered to take over the SharePoint. ","I developed a two-way, interactive SharePoint communication site using feedback based on the outcome of my analysis. ","This prototype was used not only for the Cal OES Engage Community Portal, with all 23 applications, but as a template for the entire Cal OES Enterprise Architecture Group Center of Excellence team. ",The overarching centers of excellence used my communication site as a template for their division and put me into the Enterprise Architecture Group team. ,"I served as designer, researcher, product manager, change manager, and strategist. There were also 8 engineers/developers, no project managers, 3 State-side POs, and no other contractors. I conducted user interviews with Project Managers and engineers,  cross-directorate alignment, and train-the-trainer",,"AI and Analysis: Copilot, ChatGPT, Grain (interviews), Excel (analysis), Hotjar, Pendo. Dev Collaboration: Azure DevOps, Figma, Salesforce Lightening, Snagit, Tableau, PowerBI, Snowflake. Project Org tools: Superhuman, Slack, Monday, Notion, Sharepoint, OneNote, Miro, Asana, MS Project. Creative Tools: Adobe CC, Figma, Figjam, Camtasia","When the initial team showed me their SharePoint site, they looked so helpless. They looked helpless in the way I would look helpless if they wanted me to code that site. I was able to rebuild the first iteration within a few hours, and after that, the team was thankful to have me in the group. I was able to fill the gap and do the thing the engineers dreaded! ",,
Enterprise Architecture Group,Management,Government; Disaster; Salesforce; Dashboards; Saas CRM; Awards; Public Service; Sikich LLP,The Enterprise Architecture Group had been formed and tasked with outlining all of the projects within Cal OES IT. ,"The work up to now made it clear for Cal OES IT that everything needed to be outlined, defined, and structured.","Active listening and participation allowed that team to assign me to smaller projects, such as the HR onboarding team and the Governor's Data Disaster Team. ","The architecture debt that resulted from developing this structure so late in the game, along with this being a side project for most of the government employees, made the work deprioritized and slow.","Panel interviews for the EAG, the HR onboarding team, and the CAL-Impact team. ",It became clear that my role was the human side of change management and UX strategist. ,,,,"I served as designer, researcher, product manager, and project manager. There were 4 designers, 2 researchers, 1 product manager, 45 engineers/developers, 15 project managers, 15 State-side POs, 4 change managers, 19 state leadership, 1 original Dev team subcontractor, 5 competing contracting teams. workshops, scrum-of-scrums, cross-directorate alignment, train-the-trainer",,"AI and Analysis: Copilot, ChatGPT, Grain (interviews), Excel (analysis), Hotjar, Pendo. Dev Collaboration: Azure DevOps, Figma, Salesforce Lightening, Snagit, Tableau, PowerBI, Snowflake. Project Org tools: Superhuman, Slack, Monday, Notion, Sharepoint, OneNote, Miro, Asana, MS Project. Creative Tools: Adobe CC, Figma, Figjam, Camtasia",,,
